Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short
05-07-2023,Client,188145,263844,1310541,277857
05-07-2023,DII,53517,50983,98000,1429600
05-07-2023,FII,152548,58178,1257849,1104607
05-07-2023,Pro,41714,62919,341885,196211
05-07-2023,TOTAL,435924,435924,3008275,3008275
06-07-2023,Client,203433,278832,1312759,295081
06-07-2023,DII,54327,53958,97802,1439877
06-07-2023,FII,162973,60145,1282742,1088093
06-07-2023,Pro,43818,71616,341121,211373
06-07-2023,TOTAL,464551,464551,3034424,3034424
07-07-2023,Client,195365,260517,1332857,284886
07-07-2023,DII,53050,58471,98179,1451002
07-07-2023,FII,157829,66225,1270955,1108919
07-07-2023,Pro,39952,60983,353653,210837
07-07-2023,TOTAL,446196,446196,3055644,3055644
10-07-2023,Client,191390,259554,1351431,289760
10-07-2023,DII,51272,58471,98633,1461005
10-07-2023,FII,155474,60891,1266216,1116871
10-07-2023,Pro,40049,59269,369705,218349
10-07-2023,TOTAL,438185,438185,3085985,3085985
